Material;rho;sigma_v;sigma_v_rho;use
ВТ3-1;4500;100000000;22220;Стыковочные фланцы
ВТ-23;4570;105000000;22980;Стыковочные фланцы
7049;2740;50000000;18200;Закладные элементы, Стыковочные шпангоуты
АМг6;2640;29000000;11000;Стыковочные шпангоуты
