Material;rho;delta_razr;sigma_razr;lambda_t;c_p
NBP (США);1250;450;14;0.24;1720
SBP (США);1170;550;13;0.2;1420
ЕРДМ (США);950;600;7;0.21;1680
Р-864, Р-998, РД-18 (СССР);1100;300;6;0.21;1680
